fdc_id,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
2514744,"Beef, ground, 80% lean meat / 20% fat, raw",247.812675,17.53125,0.0,19.44,,,54.94
2514745,"Pork, ground, raw",233.442059,17.80625,0.0,17.49,,,53.63
2514746,"Chicken, ground, with additives, raw",138.128494,17.9125,0.0,7.161,,,62.95
2514747,"Turkey, ground, 93% lean/ 7% fat, raw",157.5897,17.34375,0.0,9.591,,,80.18
2515373,"Nuts, brazilnuts, raw",620.950526,15.03684,21.64216,57.43,5.984,,0.0
2515374,"Nuts, cashew nuts, raw",533.47799,17.4423,36.2887,38.86,4.104,,4.759
2515375,"Nuts, hazelnuts or filberts, raw",602.39467,13.4938,26.5012,53.49,8.41,,0.0
2515376,"Peanuts, raw",550.62181,23.205,26.498,43.28,8.014,,1.493
2515377,"Flour, chestnut",384.58086,5.28675,80.45025,4.636,8.711,,0.0
2515378,"Nuts, macadamia nuts, raw",668.54428,7.7857,24.0943,64.93,7.563,,0.0
2515379,"Nuts, pistachio nuts, raw",560.68798,20.5057,27.6943,45.02,6.969,,0.0
2515380,"Seeds, pumpkin seeds (pepitas), raw",514.83917,29.9079,18.6751,40.03,5.079,,0.0
2515381,"Seeds, sunflower seed, kernel, raw",570.651,18.8733,24.5007,48.44,7.215,,0.0
2515382,"Flour, coconut",423.62737,16.1385,58.9025,15.28,34.24,,46.94
2644281,"Beans, cannellini, dry",336.59519,21.5625,59.7955,2.199,,,0.0
2644282,"Chickpeas, (garbanzo beans, bengal gram), dry",371.99469,21.275,60.358,6.274,,,8.779
2644283,"Lentils, dry",350.9328,23.56875,62.17125,1.925,,,0.0
2644284,"Blackeye pea, dry",345.5703,21.225,61.836,2.419,,,3.458
2644285,"Beans, black, canned, sodium added, drained and rinsed",115.28233,6.9125,19.8135,1.273,,,217.9
2644286,"Beans, navy, canned, sodium added, drained and rinsed",115.82665,6.56875,19.98325,1.398,,,190.1
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",112.0972,7.4125,18.8185,1.169,,,164.0
2644288,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",132.972,7.01875,20.32025,3.096,,,201.7
2644289,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",123.17082,7.8,21.03,1.256,,,172.3
2644290,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",123.51359,7.30625,21.44675,1.299,,,158.5
2644291,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",77.798925,4.734375,12.707625,1.153,,,207.4
2644292,"Beans, pinto, canned, sodium added, drained and rinsed",113.59675,6.69375,19.60025,1.266,,,201.6
2644293,"Blackeye pea, canned, sodium added, drained and rinsed",112.882483,6.925,19.1659,1.296,,,226.7
2644294,"Beans, great northern, canned, sodium added, drained and rinsed",113.66287,7.03125,19.32875,1.266,,,223.1
2646168,"Pork, loin, boneless, raw",173.72307,21.11875,0.0,9.469,,,40.2
2646169,"Pork, loin, tenderloin, boneless, raw",125.02117,21.58125,0.0,3.899,,,41.39
2646170,"Chicken, breast, boneless, skinless, raw",112.20227,22.525,0.0,1.934,,,65.75
2646171,"Chicken, thigh, boneless, skinless, raw",149.306475,18.6125,0.0,7.916,,,62.33
2646172,"Beef, ribeye, steak, boneless, choice, raw",259.611425,18.74375,0.0,20.04,,,42.54
2646173,"Beef, round, top round, boneless, choice, raw",146.43655,21.475,0.852,5.703,,,45.54
2646174,"Beef, chuck, roast, boneless, choice, raw",237.096894,18.4,0.0,17.8,,,48.44
2646175,"Beef, flank, steak, boneless, choice, raw",169.562744,20.13125,0.0,9.399,,,51.3
2647437,"Yogurt, plain, nonfat",50.07437,4.22675,8.07675,0.0875,,,51.48
2647438,"Cheese, monterey jack, solid",390.73759,22.6171,1.8979,32.63,,,662.2
2647439,"Cheese, pasteurized process cheese food or product, American, singles",307.89587,15.5672,8.1898,23.86,,,1420.0
2647440,"Cheese, provolone, sliced",356.900072,23.45288,2.45312,28.13,,,600.9
2647441,"Cheese, oaxaca, solid",298.113882,22.14498,2.40202,22.1,,,734.2
2647442,"Cheese, queso fresco, solid",297.41686,18.8848,2.9572,23.36,,,626.5
2647443,"Cheese, cotija, solid",351.761072,23.83568,2.72432,27.24,,,1625.0
2684440,"Fish, salmon, sockeye, wild caught, raw",136.22202,22.3,0.0,4.936,,,53.3
2684441,"Fish, salmon, Atlantic, farm raised, raw",203.10632,20.31875,0.0,13.11,,,49.49
2684442,"Fish, tilapia, farm raised, raw",99.95727,19.0,0.0,2.479,,,93.66
2684443,"Crustaceans, shrimp, farm raised, raw",75.699433,15.56875,0.48495,0.8013,,,474.9
2684444,"Fish, cod, Atlantic, wild caught, raw",70.477065,16.06875,0.0,0.6675,,,298.8
2684445,"Fish, catfish, farm raised, raw",133.787497,16.46875,0.0,7.308,,,60.51
2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",86.021115,18.65,0.0,0.8075,,,331.3
2685568,"Squash, summer, green, zucchini, includes skin, raw",16.0,0.984375,3.27,0.205,0.7525,,0.0
2685569,"Squash, summer, yellow, includes skin, raw",19.0,0.890625,4.39,0.135,0.9563,,0.0
2685570,"Squash, winter, butternut, raw",41.7165215,1.14875,10.50745,0.1675,1.959,,0.0
2685571,"Squash, winter, acorn, raw",41.991125,1.25,10.48,0.1825,2.635,,0.0
2685572,"Cabbage, bok choy, raw",17.0032275,1.02375,3.51495,0.2338,1.259,,14.27
2685573,"Cauliflower, raw",22.85237775,1.640625,4.723075,0.2375,1.948,,20.0
2685574,"Collards, raw",38.7580825,2.96875,7.02225,0.77,3.816,,18.41
2685575,"Brussels sprouts, raw",48.77870625,3.984375,9.615625,0.565,4.785,,25.74
2685576,"Beets, raw",40.965255,1.6875,8.787,0.3025,3.119,,111.6
2685577,"Eggplant, raw",22.35856525,0.851875,5.399325,0.12,2.448,,0.4425
2685578,"Tomatoes, whole, canned, solids and liquids, with salt added",19.149449,0.8675,4.2874,0.2063,0.8725,,111.5
2685579,"Tomato, sauce, canned, with salt added",29.10400125,1.351875,6.331625,0.3825,1.636,,416.9
2685580,"Tomato, paste, canned, without salt added",88.53450625,4.234375,20.188125,0.7325,4.704,,61.15
